Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
Hungary,Kazincbarcika,63,Moderate,1,Good,50,Good,0,Good,63,Moderate,48.2531,20.6456,2024-02-28 23:00:00
Switzerland,Chur,34,Good,1,Good,26,Good,1,Good,34,Good,46.85,9.5333,2024-02-29 00:00:00
Italy,Collecchio,84,Moderate,1,Good,34,Good,5,Good,84,Moderate,44.75,10.2167,2024-02-29 01:00:00
Germany,Cologne,53,Moderate,1,Good,35,Good,2,Good,53,Moderate,50.9364,6.9528,2024-02-29 02:00:00
United States of America,Connersville,60,Moderate,2,Good,24,Good,12,Good,60,Moderate,39.6582,-85.141,2024-02-29 03:00:00
Brazil,Cordeiro,56,Moderate,1,Good,10,Good,4,Good,56,Moderate,-22.0289,-42.3608,2024-02-29 04:00:00
United States of America,Covina,112,Unhealthy for Sensitive Groups,4,Good,6,Good,33,Good,112,Unhealthy for Sensitive Groups,34.0903,-117.8818,2024-02-29 05:00:00
Serbia,Crvenka,103,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,103,Unhealthy for Sensitive Groups,45.6583,19.4556,2024-02-29 06:00:00
Brazil,Cururupu,52,Moderate,1,Good,22,Good,0,Good,52,Moderate,-1.8278,-44.8678,2024-02-29 07:00:00
Italy,Casalmaggiore,79,Moderate,2,Good,44,Good,4,Good,79,Moderate,44.9858,10.4147,2024-02-29 08:00:00
Italy,Castelfranco Veneto,59,Moderate,2,Good,48,Good,3,Good,59,Moderate,45.6667,11.9333,2024-02-29 09:00:00
Venezuela (Bolivarian Republic of),Catia La Mar,43,Good,1,Good,18,Good,6,Good,43,Good,10.6,-67.0333,2024-02-29 10:00:00
Turkey,Ceyhan,60,Moderate,1,Good,42,Good,0,Good,60,Moderate,37.0289,35.8125,2024-02-29 11:00:00
Italy,Desio,73,Moderate,2,Good,28,Good,8,Good,73,Moderate,45.6167,9.2167,2024-02-29 12:00:00
Belgium,Dilbeek,48,Good,1,Good,27,Good,4,Good,48,Good,50.8333,4.25,2024-02-29 13:00:00
China,Dunhua,53,Moderate,2,Good,35,Good,0,Good,53,Moderate,43.3667,128.2333,2024-02-29 14:00:00
United States of America,East Peoria,48,Good,2,Good,25,Good,6,Good,48,Good,40.6736,-89.5419,2024-02-29 15:00:00
United States of America,Eau Claire,36,Good,1,Good,34,Good,2,Good,36,Good,44.8197,-91.4948,2024-02-29 16:00:00
United States of America,Edinburg,156,Unhealthy,3,Good,15,Good,6,Good,156,Unhealthy,26.3196,-98.1597,2024-02-29 17:00:00
United States of America,El Centro,37,Good,1,Good,31,Good,6,Good,37,Good,32.7865,-115.5595,2024-02-29 18:00:00
Russian Federation,Elkhotovo,40,Good,1,Good,40,Good,1,Good,38,Good,43.3458,44.2028,2024-02-29 19:00:00
Italy,Empoli,67,Moderate,1,Good,47,Good,3,Good,67,Moderate,43.7167,10.95,2024-02-29 20:00:00
Italy,Torre Santa Susanna,47,Good,1,Good,47,Good,1,Good,37,Good,40.4667,17.7333,2024-02-29 21:00:00
Japan,Tsurugashima,63,Moderate,1,Good,50,Good,2,Good,63,Moderate,35.9345,139.3931,2024-02-29 22:00:00
Mexico,Tulancingo,166,Unhealthy,2,Good,10,Good,6,Good,166,Unhealthy,20.0833,-98.3667,2024-02-29 23:00:00
Myanmar,Thongwa,38,Good,0,Good,25,Good,0,Good,38,Good,16.7547,96.5193,2024-03-01 00:00:00
India,Tilhar,156,Unhealthy,3,Good,112,Unhealthy for Sensitive Groups,1,Good,156,Unhealthy,27.98,79.73,2024-03-01 01:00:00
United States of America,Glassboro,52,Moderate,2,Good,22,Good,13,Good,52,Moderate,39.7014,-75.1113,2024-03-01 02:00:00
United States of America,Grand Island,52,Moderate,1,Good,31,Good,2,Good,52,Moderate,40.9218,-98.3586,2024-03-01 03:00:00
Germany,Greven,37,Good,0,Good,33,Good,1,Good,37,Good,52.0917,7.6083,2024-03-01 04:00:00
Germany,Grevenbroich,43,Good,1,Good,26,Good,4,Good,43,Good,51.0883,6.5875,2024-03-01 05:00:00
