Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
Dominican Republic,Constanza,102,Unhealthy for Sensitive Groups,1,Good,35,Good,0,Good,102,Unhealthy for Sensitive Groups,18.91,-70.75,2023-04-21 18:00:00
Mexico,Contla,190,Unhealthy,1,Good,35,Good,3,Good,190,Unhealthy,19.3333,-98.1667,2023-04-21 19:00:00
Italy,Corato,60,Moderate,1,Good,60,Moderate,0,Good,41,Good,41.15,16.4,2023-04-21 20:00:00
United States of America,Crystal Lake,52,Moderate,1,Good,32,Good,3,Good,52,Moderate,42.2333,-88.3351,2023-04-21 21:00:00
Romania,Pechea,50,Good,1,Good,49,Good,0,Good,50,Good,45.6333,27.8,2023-04-21 22:00:00
United Kingdom of Great Britain and Northern Ireland,Penicuik,39,Good,1,Good,39,Good,0,Good,32,Good,55.826,-3.22,2023-04-21 23:00:00
United States of America,Pennsville,49,Good,1,Good,49,Good,1,Good,38,Good,39.6266,-75.5089,2023-04-22 00:00:00
United States of America,Pensacola,82,Moderate,2,Good,82,Moderate,1,Good,35,Good,30.4413,-87.1911,2023-04-22 01:00:00
Cuba,Perico,30,Good,1,Good,30,Good,0,Good,24,Good,22.7753,-81.0153,2023-04-22 02:00:00
United States of America,Perry Hall,46,Good,1,Good,44,Good,2,Good,46,Good,39.4068,-76.478,2023-04-22 03:00:00
France,Marignane,47,Good,1,Good,47,Good,3,Good,42,Good,43.416,5.2145,2023-04-22 04:00:00
France,Marly,54,Moderate,1,Good,42,Good,1,Good,54,Moderate,50.3489,3.5442,2023-04-22 05:00:00
Madagascar,Marovoay,47,Good,1,Good,21,Good,0,Good,47,Good,-16.1111,46.6439,2023-04-22 06:00:00
Switzerland,Martigny,64,Moderate,1,Good,38,Good,0,Good,64,Moderate,46.1,7.0667,2023-04-22 07:00:00
Japan,Marugame,55,Moderate,1,Good,32,Good,5,Good,55,Moderate,34.2833,133.8,2023-04-22 08:00:00
United States of America,Mayfield Heights,56,Moderate,1,Good,37,Good,2,Good,56,Moderate,41.5174,-81.4534,2023-04-22 09:00:00
Russian Federation,Melenki,35,Good,1,Good,35,Good,0,Good,26,Good,55.3333,41.65,2023-04-22 10:00:00
Argentina,Mendoza,45,Good,1,Good,16,Good,4,Good,45,Good,-32.8833,-68.8167,2023-04-22 11:00:00
Indonesia,Merauke,34,Good,0,Good,21,Good,0,Good,34,Good,-8.4932,140.4018,2023-04-22 12:00:00
Italy,Mercato San Severino,69,Moderate,1,Good,69,Moderate,0,Good,54,Moderate,40.7833,14.7667,2023-04-22 13:00:00
Germany,Merchweiler,63,Moderate,1,Good,55,Moderate,0,Good,63,Moderate,49.3603,7.06,2023-04-22 14:00:00
United States of America,Midvale,47,Good,1,Good,40,Good,3,Good,47,Good,40.6148,-111.8927,2023-04-22 15:00:00
United States of America,Milpitas,50,Good,1,Good,31,Good,4,Good,50,Good,37.4336,-121.8921,2023-04-22 16:00:00
United States of America,Minneapolis,52,Moderate,1,Good,30,Good,2,Good,52,Moderate,44.9635,-93.2678,2023-04-22 17:00:00
Russian Federation,Minyar,40,Good,1,Good,40,Good,0,Good,9,Good,55.0667,57.55,2023-04-22 18:00:00
Brazil,Miracema,30,Good,0,Good,24,Good,0,Good,30,Good,-21.4119,-42.1969,2023-04-22 19:00:00
Japan,Misawa,91,Moderate,3,Good,36,Good,8,Good,91,Moderate,40.6831,141.3691,2023-04-22 20:00:00
Japan,Mitsuke,116,Unhealthy for Sensitive Groups,3,Good,20,Good,14,Good,116,Unhealthy for Sensitive Groups,37.5316,138.9127,2023-04-22 21:00:00
Botswana,Mochudi,39,Good,1,Good,31,Good,0,Good,39,Good,-24.4167,26.15,2023-04-22 22:00:00
Chile,Molina,97,Moderate,4,Good,2,Good,5,Good,97,Moderate,-35.1144,-71.2825,2023-04-22 23:00:00
Italy,Monselice,87,Moderate,1,Good,63,Moderate,0,Good,87,Moderate,45.2333,11.75,2023-04-23 00:00:00
Italy,Montemurlo,67,Moderate,1,Good,67,Moderate,0,Good,43,Good,43.9333,11.0333,2023-04-23 01:00:00
Sri Lanka,Moratuwa,89,Moderate,1,Good,20,Good,3,Good,89,Moderate,6.7991,79.8767,2023-04-23 02:00:00
Malta,Mosta,70,Moderate,1,Good,70,Moderate,0,Good,42,Good,35.9097,14.4261,2023-04-23 03:00:00
Peru,Motupe,38,Good,1,Good,18,Good,0,Good,38,Good,-6.1519,-79.7142,2023-04-23 04:00:00
Kenya,Moyale,30,Good,0,Good,15,Good,0,Good,30,Good,3.527,39.056,2023-04-23 05:00:00
Turkey,Mut,46,Good,1,Good,46,Good,0,Good,34,Good,36.6333,33.4333,2023-04-23 06:00:00
Canada,Nanticoke,31,Good,1,Good,31,Good,0,Good,31,Good,41.2005,-76.0003,2023-04-23 07:00:00
China,Kaohsiung,97,Moderate,2,Good,97,Moderate,2,Good,77,Moderate,22.615,120.2975,2023-04-23 08:00:00
Russian Federation,Kasimov,34,Good,1,Good,34,Good,0,Good,32,Good,54.9333,41.4,2023-04-23 09:00:00
Georgia,Kaspi,33,Good,1,Good,33,Good,0,Good,31,Good,41.925,44.4222,2023-04-23 10:00:00
United States of America,East Brunswick,55,Moderate,2,Good,28,Good,11,Good,55,Moderate,40.4281,-74.4179,2023-04-23 11:00:00
United States of America,East Hemet,55,Moderate,1,Good,15,Good,10,Good,55,Moderate,33.7301,-116.941,2023-04-23 12:00:00
United States of America,East Lake,52,Moderate,1,Good,20,Good,10,Good,52,Moderate,28.1206,-82.6868,2023-04-23 13:00:00
Belgium,Edegem,63,Moderate,1,Good,27,Good,8,Good,63,Moderate,51.15,4.45,2023-04-23 14:00:00
Guatemala,El Estor,38,Good,1,Good,13,Good,1,Good,38,Good,15.5333,-89.35,2023-04-23 15:00:00
Colombia,El Zulia,62,Moderate,1,Good,8,Good,3,Good,62,Moderate,7.9333,-72.6,2023-04-23 16:00:00
United States of America,Elk Grove Village,65,Moderate,2,Good,14,Good,19,Good,65,Moderate,42.0064,-87.9921,2023-04-23 17:00:00
United States of America,Ellensburg,58,Moderate,1,Good,40,Good,1,Good,58,Moderate,46.9999,-120.5475,2023-04-23 18:00:00
United States of America,Dothan,58,Moderate,2,Good,26,Good,8,Good,58,Moderate,31.2336,-85.407,2023-04-23 19:00:00
Germany,Drochtersen,57,Moderate,1,Good,29,Good,6,Good,57,Moderate,53.7,9.3833,2023-04-23 20:00:00
United States of America,Marshfield,42,Good,1,Good,26,Good,3,Good,42,Good,42.114,-70.7151,2023-04-23 21:00:00
Italy,Martina Franca,47,Good,1,Good,47,Good,1,Good,27,Good,40.7,17.3333,2023-04-23 22:00:00
Kingdom of Eswatini,Mbabane,114,Unhealthy for Sensitive Groups,2,Good,21,Good,3,Good,114,Unhealthy for Sensitive Groups,-26.3208,31.1617,2023-04-23 23:00:00
Switzerland,Meilen,53,Moderate,1,Good,31,Good,2,Good,53,Moderate,47.2667,8.6333,2023-04-24 00:00:00
Germany,Meitingen,65,Moderate,1,Good,34,Good,3,Good,65,Moderate,48.5333,10.8333,2023-04-24 01:00:00
Gabon,Moanda,78,Moderate,3,Good,15,Good,0,Good,78,Moderate,-5.9342,12.3494,2023-04-24 02:00:00
United States of America,Modesto,53,Moderate,1,Good,26,Good,9,Good,53,Moderate,37.6375,-121.0028,2023-04-24 03:00:00
Kenya,Mombasa,51,Moderate,1,Good,24,Good,0,Good,51,Moderate,-4.05,39.6667,2023-04-24 04:00:00
Italy,Mondolfo,56,Moderate,1,Good,46,Good,2,Good,56,Moderate,43.75,13.1,2023-04-24 05:00:00
Dominican Republic,Monte Plata,159,Unhealthy,5,Good,5,Good,12,Good,159,Unhealthy,18.81,-69.79,2023-04-24 06:00:00
Italy,Montecorvino Rovella,47,Good,1,Good,47,Good,2,Good,45,Good,40.7,14.9833,2023-04-24 07:00:00
Jamaica,Montego Bay,106,Unhealthy for Sensitive Groups,1,Good,19,Good,3,Good,106,Unhealthy for Sensitive Groups,18.4667,-77.9167,2023-04-24 08:00:00
Netherlands,Montfoort,34,Good,1,Good,29,Good,5,Good,34,Good,52.05,4.95,2023-04-24 09:00:00
Portugal,Montijo,31,Good,1,Good,31,Good,4,Good,28,Good,38.6833,-8.9,2023-04-24 10:00:00
United States of America,Metairie,48,Good,2,Good,37,Good,9,Good,48,Good,29.9977,-90.178,2023-04-24 11:00:00
Peru,Abancay,24,Good,1,Good,0,Good,2,Good,24,Good,-13.6333,-72.8833,2023-04-24 12:00:00
Brazil,Agrestina,22,Good,0,Good,17,Good,1,Good,22,Good,-8.45,-35.95,2023-04-24 13:00:00
United States of America,Albert Lea,42,Good,1,Good,42,Good,1,Good,42,Good,43.6548,-93.3643,2023-04-24 14:00:00
Spain,Alcantarilla,31,Good,1,Good,31,Good,1,Good,26,Good,37.9722,-1.2094,2023-04-24 15:00:00
Netherlands,Almere,31,Good,0,Good,31,Good,2,Good,15,Good,52.3667,5.2167,2023-04-24 16:00:00
China,Dali,25,Good,1,Good,17,Good,1,Good,25,Good,25.6808,100.3003,2023-04-24 17:00:00
India,Digboi,25,Good,1,Good,25,Good,0,Good,16,Good,27.3932,95.6184,2023-04-24 18:00:00
United States of America,Dobbs Ferry,110,Unhealthy for Sensitive Groups,4,Good,4,Good,35,Good,110,Unhealthy for Sensitive Groups,41.0127,-73.8697,2023-04-24 19:00:00
Italy,Dolo,60,Moderate,2,Good,31,Good,7,Good,60,Moderate,45.4269,12.0753,2023-04-24 20:00:00
Russian Federation,Domodedovo,73,Moderate,2,Good,23,Good,14,Good,73,Moderate,55.44,37.7619,2023-04-24 21:00:00
India,Khetia,137,Unhealthy for Sensitive Groups,2,Good,26,Good,4,Good,137,Unhealthy for Sensitive Groups,21.6712,74.5853,2023-04-24 22:00:00
India,Khurai,160,Unhealthy,3,Good,67,Moderate,2,Good,160,Unhealthy,24.0437,78.3301,2023-04-24 23:00:00
Germany,Kierspe,54,Moderate,1,Good,45,Good,0,Good,54,Moderate,51.1333,7.5667,2023-04-25 00:00:00
Russian Federation,Kingisepp,34,Good,1,Good,34,Good,0,Good,5,Good,59.3667,28.6167,2023-04-25 01:00:00
Russian Federation,Kizlyar,60,Moderate,1,Good,43,Good,0,Good,60,Moderate,43.85,46.7167,2023-04-25 02:00:00
France,Kleinblittersdorf,66,Moderate,1,Good,54,Moderate,0,Good,66,Moderate,49.1583,7.0381,2023-04-25 03:00:00
Austria,Knittelfeld,63,Moderate,1,Good,40,Good,0,Good,63,Moderate,47.215,14.8294,2023-04-25 04:00:00
Japan,Komaki,126,Unhealthy for Sensitive Groups,3,Good,6,Good,23,Good,126,Unhealthy for Sensitive Groups,35.291,136.9121,2023-04-25 05:00:00
Viet Nam,Kon Tum,59,Moderate,1,Good,8,Good,3,Good,59,Moderate,14.3544,108.0075,2023-04-25 06:00:00
Poland,Koronowo,42,Good,1,Good,42,Good,0,Good,22,Good,53.3167,17.9333,2023-04-25 07:00:00
Japan,Kosai,77,Moderate,2,Good,32,Good,6,Good,77,Moderate,34.7184,137.5316,2023-04-25 08:00:00
Germany,Krumbach,66,Moderate,1,Good,58,Moderate,0,Good,66,Moderate,48.25,10.3667,2023-04-25 09:00:00
Malaysia,Kuala Lipis,70,Moderate,2,Good,10,Good,3,Good,70,Moderate,4.18,102.05,2023-04-25 10:00:00
Germany,Kulmbach,54,Moderate,1,Good,49,Good,0,Good,54,Moderate,50.1,11.4333,2023-04-25 11:00:00
Russian Federation,Kurchaloy,58,Moderate,1,Good,44,Good,2,Good,58,Moderate,43.2044,46.0911,2023-04-25 12:00:00
Estonia,Kuressaare,35,Good,1,Good,35,Good,0,Good,17,Good,58.25,22.4833,2023-04-25 13:00:00
India,Kushtagi,69,Moderate,1,Good,32,Good,2,Good,69,Moderate,15.7562,76.1911,2023-04-25 14:00:00
Russian Federation,Kuvshinovo,31,Good,1,Good,31,Good,0,Good,10,Good,57.0333,34.1833,2023-04-25 15:00:00
China,Kuytun,84,Moderate,1,Good,20,Good,4,Good,84,Moderate,44.4264,84.9032,2023-04-25 16:00:00
Myanmar,Kyaukse,66,Moderate,1,Good,6,Good,3,Good,66,Moderate,21.6131,96.1303,2023-04-25 17:00:00
Spain,La Algaba,42,Good,1,Good,42,Good,0,Good,15,Good,37.45,-6.0,2023-04-25 18:00:00
Dominican Republic,La Mata,118,Unhealthy for Sensitive Groups,1,Good,31,Good,3,Good,118,Unhealthy for Sensitive Groups,19.1,-70.1681,2023-04-25 19:00:00
United States of America,La Palma,85,Moderate,3,Good,22,Good,19,Good,85,Moderate,33.8504,-118.0407,2023-04-25 20:00:00
United States of America,La Vista,42,Good,1,Good,39,Good,3,Good,42,Good,41.1816,-96.0664,2023-04-25 21:00:00
Finland,Lahti,34,Good,1,Good,34,Good,0,Good,4,Good,60.9833,25.65,2023-04-25 22:00:00
Germany,Laichingen,63,Moderate,1,Good,53,Moderate,0,Good,63,Moderate,48.4897,9.6861,2023-04-25 23:00:00
United Kingdom of Great Britain and Northern Ireland,Leatherhead,33,Good,0,Good,33,Good,1,Good,28,Good,51.295,-0.329,2023-04-26 00:00:00
United States of America,Lemon Grove,50,Good,1,Good,34,Good,6,Good,50,Good,32.7331,-117.0344,2023-04-26 01:00:00
United States of America,Lewisville,71,Moderate,2,Good,30,Good,6,Good,71,Moderate,33.0454,-96.9815,2023-04-26 02:00:00
Mexico,Linares,52,Moderate,1,Good,24,Good,0,Good,52,Moderate,24.8597,-99.5647,2023-04-26 03:00:00
China,Linjiang,78,Moderate,2,Good,49,Good,1,Good,78,Moderate,41.8471,126.9301,2023-04-26 04:00:00
Democratic Republic of the Congo,Lisala,71,Moderate,2,Good,8,Good,0,Good,71,Moderate,2.1486,21.5136,2023-04-26 05:00:00
Bosnia and Herzegovina,Livno,96,Moderate,1,Good,41,Good,0,Good,96,Moderate,43.8269,17.0081,2023-04-26 06:00:00
Angola,Lobito,52,Moderate,1,Good,20,Good,0,Good,52,Moderate,-12.3597,13.5308,2023-04-26 07:00:00
Russian Federation,Lobnya,32,Good,1,Good,32,Good,5,Good,29,Good,56.0167,37.4833,2023-04-26 08:00:00
Germany,Lollar,56,Moderate,1,Good,50,Good,0,Good,56,Moderate,50.6497,8.7044,2023-04-26 09:00:00
United States of America,Longview,46,Good,1,Good,37,Good,4,Good,46,Good,32.5193,-94.7622,2023-04-26 10:00:00
United Kingdom of Great Britain and Northern Ireland,Louth,45,Good,1,Good,36,Good,1,Good,45,Good,53.3669,-0.0061,2023-04-26 11:00:00
Malawi,Luchenza,62,Moderate,1,Good,21,Good,0,Good,62,Moderate,-16.0167,35.3,2023-04-26 12:00:00
Bosnia and Herzegovina,Lukavac,63,Moderate,1,Good,50,Good,0,Good,63,Moderate,44.55,18.5167,2023-04-26 13:00:00
Uganda,Luwero,102,Unhealthy for Sensitive Groups,2,Good,12,Good,1,Good,102,Unhealthy for Sensitive Groups,0.8331,32.4994,2023-04-26 14:00:00
Italy,Luzzi,49,Good,1,Good,49,Good,0,Good,43,Good,39.45,16.2833,2023-04-26 15:00:00
Russian Federation,Sayansk,34,Good,1,Good,34,Good,0,Good,24,Good,54.1167,102.1667,2023-04-26 16:00:00
Italy,Scalea,53,Moderate,1,Good,40,Good,2,Good,53,Moderate,39.8167,15.8,2023-04-26 17:00:00
United States of America,Scottsdale,50,Good,1,Good,20,Good,15,Good,50,Good,33.6872,-111.8651,2023-04-26 18:00:00
Germany,Selm,36,Good,1,Good,33,Good,2,Good,36,Good,51.6833,7.4833,2023-04-26 19:00:00
India,Seoni,173,Unhealthy,1,Good,36,Good,0,Good,173,Unhealthy,22.08,79.53,2023-04-26 20:00:00
Russian Federation,Serpukhov,55,Moderate,1,Good,30,Good,2,Good,55,Moderate,54.9167,37.4,2023-04-26 21:00:00
Armenia,Sevan,32,Good,1,Good,32,Good,0,Good,23,Good,40.555,44.9536,2023-04-26 22:00:00
United States of America,Seven Hills,36,Good,2,Good,34,Good,5,Good,36,Good,41.3803,-81.6736,2023-04-26 23:00:00
Colombia,Sevilla,71,Moderate,2,Good,2,Good,5,Good,71,Moderate,37.24,-5.99,2023-04-27 00:00:00
Bulgaria,Sevlievo,39,Good,1,Good,39,Good,0,Good,32,Good,43.0256,25.1133,2023-04-27 01:00:00
India,Shamgarh,192,Unhealthy,1,Good,36,Good,0,Good,192,Unhealthy,24.18,75.63,2023-04-27 02:00:00
China,Shaoyang,159,Unhealthy,4,Good,159,Unhealthy,4,Good,108,Unhealthy for Sensitive Groups,27.2418,111.4725,2023-04-27 03:00:00
Italy,Somma Vesuviana,62,Moderate,1,Good,48,Good,4,Good,62,Moderate,40.8725,14.4369,2023-04-27 04:00:00
Iran (Islamic Republic of),Sonqor,70,Moderate,1,Good,54,Moderate,0,Good,70,Moderate,34.7836,47.6003,2023-04-27 05:00:00
Russian Federation,Sortavala,50,Good,1,Good,30,Good,3,Good,50,Good,61.7056,30.6958,2023-04-27 06:00:00
United States of America,South Elgin,51,Moderate,1,Good,32,Good,8,Good,51,Moderate,41.9906,-88.3135,2023-04-27 07:00:00
South Africa,Springbok,34,Good,0,Good,15,Good,1,Good,34,Good,-29.6667,17.8833,2023-04-27 08:00:00
Italy,Squinzano,71,Moderate,1,Good,71,Moderate,1,Good,47,Good,40.4333,18.05,2023-04-27 09:00:00
South Africa,Stellenbosch,181,Unhealthy,11,Good,12,Good,8,Good,181,Unhealthy,-33.9367,18.8614,2023-04-27 10:00:00
United Kingdom of Great Britain and Northern Ireland,Stockport,61,Moderate,1,Good,15,Good,11,Good,61,Moderate,53.4083,-2.1494,2023-04-27 11:00:00
United States of America,Stratford,87,Moderate,4,Good,5,Good,39,Good,87,Moderate,51.5423,-0.0026,2023-04-27 12:00:00
Bolivia (Plurinational State of),Sucre,14,Good,0,Good,6,Good,0,Good,14,Good,-19.0475,-65.26,2023-04-27 13:00:00
Germany,Suhl,70,Moderate,1,Good,38,Good,2,Good,70,Moderate,50.6106,10.6931,2023-04-27 14:00:00
Germany,Sulingen,34,Good,0,Good,34,Good,1,Good,17,Good,52.6667,8.8,2023-04-27 15:00:00
Costa Rica,San Diego,56,Moderate,2,Good,5,Good,11,Good,56,Moderate,32.8313,-117.1222,2023-04-27 16:00:00
Venezuela (Bolivarian Republic of),San Mateo,58,Moderate,1,Good,15,Good,7,Good,58,Moderate,14.6969,121.1219,2023-04-27 17:00:00
Brazil,Santa Luzia,20,Good,0,Good,16,Good,0,Good,20,Good,-19.77,-43.8506,2023-04-27 18:00:00
Slovakia,Balassagyarmat,62,Moderate,1,Good,59,Moderate,0,Good,62,Moderate,48.0786,19.2942,2023-04-27 19:00:00
Pakistan,Bannu,176,Unhealthy,3,Good,114,Unhealthy for Sensitive Groups,1,Good,176,Unhealthy,32.9864,70.6044,2023-04-27 20:00:00
Brazil,Batatais,48,Good,1,Good,22,Good,0,Good,48,Good,-20.8911,-47.585,2023-04-27 21:00:00
Australia,Batemans Bay,29,Good,0,Good,29,Good,0,Good,19,Good,-35.7081,150.1744,2023-04-27 22:00:00
Cameroon,Batouri,49,Good,1,Good,19,Good,0,Good,49,Good,4.4333,14.3667,2023-04-27 23:00:00
United States of America,Battle Creek,64,Moderate,1,Good,32,Good,1,Good,64,Moderate,42.2985,-85.2296,2023-04-28 00:00:00
Spain,Baza,36,Good,0,Good,36,Good,0,Good,18,Good,37.4833,-2.7667,2023-04-28 01:00:00
United States of America,Beaumont,68,Moderate,2,Good,34,Good,6,Good,68,Moderate,30.0849,-94.1451,2023-04-28 02:00:00
Indonesia,Bekasi,193,Unhealthy,9,Good,16,Good,29,Good,193,Unhealthy,-6.2349,106.9923,2023-04-28 03:00:00
Mauritius,Bel Air,60,Moderate,1,Good,27,Good,0,Good,60,Moderate,-20.2582,57.7545,2023-04-28 04:00:00
Turkey,Belen,39,Good,1,Good,39,Good,0,Good,27,Good,36.4889,36.1944,2023-04-28 05:00:00
Switzerland,Bellinzona,87,Moderate,1,Good,41,Good,0,Good,87,Moderate,46.1954,9.0297,2023-04-28 06:00:00
India,Berasia,164,Unhealthy,2,Good,57,Moderate,2,Good,164,Unhealthy,23.6146,77.4645,2023-04-28 07:00:00
Albania,Berat,91,Moderate,1,Good,47,Good,0,Good,91,Moderate,40.7,19.95,2023-04-28 08:00:00
Belgium,Beveren,47,Good,1,Good,38,Good,2,Good,47,Good,51.2,4.25,2023-04-28 09:00:00
India,Bindki,180,Unhealthy,4,Good,101,Unhealthy for Sensitive Groups,6,Good,180,Unhealthy,26.03,80.6,2023-04-28 10:00:00
Germany,Bitterfeld,46,Good,1,Good,46,Good,0,Good,44,Good,51.6167,12.3167,2023-04-28 11:00:00
United States of America,Bixby,60,Moderate,2,Good,33,Good,5,Good,60,Moderate,35.9454,-95.8776,2023-04-28 12:00:00
United States of America,Blacksburg,43,Good,1,Good,43,Good,0,Good,18,Good,37.23,-80.4279,2023-04-28 13:00:00
Poland,Bochnia,70,Moderate,1,Good,46,Good,0,Good,70,Moderate,49.9833,20.4333,2023-04-28 14:00:00
Germany,Bockenem,44,Good,1,Good,44,Good,0,Good,37,Good,52.0117,10.1319,2023-04-28 15:00:00
Poland,Bogatynia,55,Moderate,1,Good,43,Good,0,Good,55,Moderate,50.9069,14.9569,2023-04-28 16:00:00
Uganda,Bombo,127,Unhealthy for Sensitive Groups,3,Good,13,Good,1,Good,127,Unhealthy for Sensitive Groups,0.5778,32.545,2023-04-28 17:00:00
United States of America,Bon Air,50,Good,1,Good,39,Good,2,Good,50,Good,37.5187,-77.5713,2023-04-28 18:00:00
France,Bondy,69,Moderate,1,Good,46,Good,1,Good,69,Moderate,48.9022,2.4828,2023-04-28 19:00:00
Ethiopia,Bonga,24,Good,1,Good,16,Good,0,Good,24,Good,7.2667,36.2333,2023-04-28 20:00:00
Russian Federation,Borovsk,38,Good,1,Good,38,Good,0,Good,18,Good,55.2,36.5,2023-04-28 21:00:00
Turkey,Boyabat,43,Good,1,Good,43,Good,0,Good,28,Good,41.4653,34.7708,2023-04-28 22:00:00
South Africa,Breyten,53,Moderate,1,Good,18,Good,5,Good,53,Moderate,-26.3,29.9833,2023-04-28 23:00:00
Mexico,Buenos Aires,43,Good,1,Good,28,Good,0,Good,43,Good,-34.5997,-58.3819,2023-04-29 00:00:00
Australia,Burnie,26,Good,0,Good,26,Good,1,Good,12,Good,-41.0636,145.8753,2023-04-29 01:00:00
Spain,Burriana,41,Good,1,Good,41,Good,0,Good,14,Good,39.8894,-0.0925,2023-04-29 02:00:00
Turkey,Bursa,54,Moderate,1,Good,43,Good,0,Good,54,Moderate,40.1833,29.05,2023-04-29 03:00:00
United Kingdom of Great Britain and Northern Ireland,Bury,40,Good,1,Good,35,Good,1,Good,40,Good,53.593,-2.298,2023-04-29 04:00:00
Germany,Cadolzburg,64,Moderate,1,Good,52,Moderate,0,Good,64,Moderate,49.45,10.8667,2023-04-29 05:00:00
Italy,Calenzano,67,Moderate,1,Good,67,Moderate,0,Good,45,Good,43.8667,11.1667,2023-04-29 06:00:00
Australia,Canberra,24,Good,0,Good,24,Good,1,Good,11,Good,-35.2931,149.1269,2023-04-29 07:00:00
Brazil,Capinzal,25,Good,1,Good,11,Good,0,Good,25,Good,-27.3439,-51.6119,2023-04-29 08:00:00
Brazil,Capivari,77,Moderate,1,Good,33,Good,1,Good,77,Moderate,-22.995,-47.5078,2023-04-29 09:00:00
France,Carvin,49,Good,1,Good,38,Good,1,Good,49,Good,50.4931,2.9581,2023-04-29 10:00:00
United States of America,Cary,55,Moderate,1,Good,30,Good,3,Good,55,Moderate,35.7819,-78.8195,2023-04-29 11:00:00
Italy,Cercola,72,Moderate,1,Good,72,Moderate,1,Good,56,Moderate,40.8667,14.35,2023-04-29 12:00:00
Trinidad and Tobago,Chaguanas,59,Moderate,0,Good,25,Good,2,Good,59,Moderate,10.5167,-61.4,2023-04-29 13:00:00
Guatemala,Chajul,41,Good,1,Good,24,Good,0,Good,41,Good,15.4872,-91.0347,2023-04-29 14:00:00
India,Champdani,220,Very Unhealthy,10,Good,9,Good,23,Good,220,Very Unhealthy,22.8,88.37,2023-04-29 15:00:00
Mexico,Chetumal,57,Moderate,1,Good,27,Good,0,Good,57,Moderate,18.5036,-88.3053,2023-04-29 16:00:00
Chile,Chimbarongo,94,Moderate,4,Good,2,Good,4,Good,94,Moderate,-34.7089,-71.0431,2023-04-29 17:00:00
Zambia,Chinsali,30,Good,0,Good,24,Good,0,Good,30,Good,-10.5522,32.0692,2023-04-29 18:00:00
France,Cholet,38,Good,1,Good,38,Good,0,Good,23,Good,47.06,-0.8783,2023-04-29 19:00:00
Burundi,Cibitoke,68,Moderate,1,Good,28,Good,0,Good,68,Moderate,-2.8886,29.12,2023-04-29 20:00:00
Italy,Cinisello Balsamo,90,Moderate,1,Good,66,Moderate,0,Good,90,Moderate,45.55,9.2167,2023-04-29 21:00:00
Italy,Civitavecchia,74,Moderate,1,Good,74,Moderate,0,Good,27,Good,42.1,11.8,2023-04-29 22:00:00
United States of America,Clifton,52,Moderate,1,Good,46,Good,2,Good,52,Moderate,40.863,-74.1575,2023-04-29 23:00:00
Ireland,Clonmel,57,Moderate,1,Good,39,Good,0,Good,57,Moderate,52.3539,-7.7116,2023-04-30 00:00:00
Kenya,Taveta,43,Good,1,Good,18,Good,0,Good,43,Good,-3.3956,37.6761,2023-04-30 01:00:00
Philippines,Tayug,89,Moderate,1,Good,29,Good,1,Good,89,Moderate,16.0267,120.7478,2023-04-30 02:00:00
Romania,Tecuci,44,Good,1,Good,41,Good,0,Good,44,Good,45.8467,27.4278,2023-04-30 03:00:00
United States of America,Tehachapi,34,Good,1,Good,34,Good,4,Good,30,Good,35.1276,-118.4744,2023-04-30 04:00:00
Canada,Terrace,24,Good,0,Good,24,Good,1,Good,11,Good,54.5164,-128.5997,2023-04-30 05:00:00
Lesotho,Teyateyaneng,65,Moderate,2,Good,23,Good,1,Good,65,Moderate,-29.1511,27.7425,2023-04-30 06:00:00
United States of America,The Woodlands,51,Moderate,1,Good,12,Good,11,Good,51,Moderate,30.1738,-95.5134,2023-04-30 07:00:00
United States of America,Thousand Oaks,50,Good,2,Good,31,Good,14,Good,50,Good,34.1914,-118.8756,2023-04-30 08:00:00
Israel,Tirat Karmel,132,Unhealthy for Sensitive Groups,2,Good,42,Good,9,Good,132,Unhealthy for Sensitive Groups,32.7667,34.9667,2023-04-30 09:00:00
Japan,Tomakomai,33,Good,1,Good,33,Good,0,Good,14,Good,42.6341,141.6055,2023-04-30 10:00:00
Russian Federation,Uren,32,Good,1,Good,32,Good,0,Good,4,Good,57.45,45.7833,2023-04-30 11:00:00
Japan,Ushiku,39,Good,1,Good,39,Good,2,Good,38,Good,35.9794,140.1496,2023-04-30 12:00:00
France,Valbonne,74,Moderate,2,Good,34,Good,3,Good,74,Moderate,43.6414,7.0089,2023-04-30 13:00:00
Portugal,Valongo,38,Good,1,Good,15,Good,6,Good,38,Good,41.1833,-8.5,2023-04-30 14:00:00
Romania,Vaslui,62,Moderate,1,Good,43,Good,0,Good,62,Moderate,46.6383,27.7292,2023-04-30 15:00:00
Portugal,Vendas Novas,35,Good,0,Good,27,Good,1,Good,35,Good,38.6833,-8.45,2023-04-30 16:00:00
Ecuador,Ventanas,75,Moderate,2,Good,5,Good,8,Good,75,Moderate,-1.45,-79.47,2023-04-30 17:00:00
Haiti,Verrettes,131,Unhealthy for Sensitive Groups,2,Good,18,Good,4,Good,131,Unhealthy for Sensitive Groups,19.05,-72.4667,2023-04-30 18:00:00
South Sudan,Tonj,84,Moderate,2,Good,4,Good,0,Good,84,Moderate,7.28,28.68,2023-04-30 19:00:00
